algorithm,parameter,cluster_count,noise_ratio,silhouette_cosine,davies_bouldin,calinski_harabasz,smallest_cluster,largest_cluster,tag_coherence_at_10,stability_ari,fit_time_seconds,selection_score
hdbscan,5,3,0.101123595505618,0.49246662855148315,1.0070219085485823,33.36682755857596,6,129,0.9579166666666665,1.0,0.09438919999956852,0.7104315820660038
hdbscan,10,2,0.2134831460674157,0.5358189940452576,1.1319470178567896,46.66032045439601,21,119,0.9566666666666667,1.0,0.0768556000002718,0.7037053771724415
hdbscan,15,2,0.202247191011236,0.5275002717971802,1.137598839836115,43.93742548405077,20,122,0.9572769953051643,0.9811862433725669,0.07728400000269176,0.6978041478152139
agglomerative,8,8,0.0,0.2092762142419815,1.909703875741518,18.342568117169044,3,42,0.9707865168539327,1.0,0.0583866000015405,0.5973347363344739
agglomerative,16,16,0.0,0.1792665272951126,2.0139802110206766,12.3686894287859,3,31,0.9848314606741572,0.9766897247022612,0.015925699997751508,0.5800135599916609
agglomerative,12,12,0.0,0.17342835664749146,1.9799885037450802,14.438635036055558,3,31,0.9815543071161049,0.986619201033394,0.015836200000194367,0.5787575553611205
kmeans,8,8,0.0,0.2032468318939209,2.1665208514332153,18.07840155157339,6,48,0.9810861423220973,0.6653450704753194,0.8994821999986016,0.5132312191463146
kmeans,12,12,0.0,0.17083236575126648,2.083274929410161,13.970655991448583,1,42,0.9796816479400748,0.5937654444347796,0.026656899997760775,0.4787779559693468
kmeans,16,16,0.0,0.16116251051425934,2.0425715324689775,11.616086225760252,1,28,0.9829588014981273,0.5385766389622368,0.04866250000122818,0.46096511537222074
