"ClusterRunId","Status","AlgorithmName","EmbeddingSource","ParametersJson","IsActive","CreatedAt","StartedAt","CompletedAt","ErrorMessage"
"bc4160aa-f858-4a1c-a029-eeabccea5129","3","kmeans","essentia","{""nClusters"":12,""randomState"":42}","False","8.7.2026. 15:10:51","8.7.2026. 15:10:52","8.7.2026. 15:10:53",""
"a6f622bc-ccbb-4cfa-9500-3888390d2621","3","kmeans","essentia","{""nClusters"":12,""randomState"":42}","False","12.7.2026. 21:30:44","12.7.2026. 21:30:45","12.7.2026. 21:30:47",""
"e3573a62-c29f-41b5-b9bd-3b49f7e40b34","3","kmeans","essentia","{""nClusters"":12,""randomState"":42}","False","14.7.2026. 17:09:38","14.7.2026. 17:09:39","14.7.2026. 17:09:41",""
"28942ad1-7e95-4454-aef9-3c0d108a4391","3","kmeans","essentia","{""nClusters"":12,""randomState"":42}","False","16.7.2026. 12:06:35","16.7.2026. 12:06:36","16.7.2026. 12:06:38",""
"39e71ec3-918e-42ce-a189-27a71617ab0d","3","kmeans","essentia","{""nClusters"":12,""randomState"":42}","False","17.7.2026. 14:48:36","17.7.2026. 14:48:37","17.7.2026. 14:48:39",""
"aa9784cd-1570-42e3-8c38-e2eefbbd7f93","3","kmeans","essentia","{""nClusters"":12,""randomState"":42}","False","18.7.2026. 10:28:27","18.7.2026. 10:28:28","18.7.2026. 10:28:38",""
"82262d46-ec5b-4b61-9fe7-0ee439bc6b76","4","kmeans","essentia","{""nClusters"":12,""randomState"":42}","False","24.7.2026. 15:02:10","","24.7.2026. 15:02:14","Failed to enqueue audio clustering job: None of the specified endpoints were reachable"
"b0c3bed5-d02a-44c0-b88e-c04d24af4657","4","kmeans","essentia","{""nClusters"":12,""randomState"":42}","False","24.7.2026. 15:02:59","","24.7.2026. 15:03:03","Failed to enqueue audio clustering job: None of the specified endpoints were reachable"
"42801ef5-650c-4a25-9e14-502ae2597df1","3","kmeans","essentia","{""nClusters"":12,""randomState"":42}","True","24.7.2026. 15:42:41","24.7.2026. 15:42:41","24.7.2026. 15:42:43",""
