"PlaylistTrackId","PlaylistId","TrackId","Position","Score","Reason"
"a0b8ba75-a95c-46d3-a548-830de9c6fb46","21a3a5a7-3651-4a81-9559-089ac6d4c230","37","6","0,469444","Matches Energetic Mix through electronic, pop, energetic."
"08e91739-9e1a-40c9-900e-e8719c6931fe","21a3a5a7-3651-4a81-9559-089ac6d4c230","72","7","0,462781","Matches Energetic Mix through pop, electronic, dance."
"a35937c1-696e-4957-ba66-d8bc64dc32de","21a3a5a7-3651-4a81-9559-089ac6d4c230","67","8","0,454526","Matches Energetic Mix through pop, popfolk, poprock."
"2019f24a-ca10-4d96-8c38-c311ec188df5","21a3a5a7-3651-4a81-9559-089ac6d4c230","33","9","0,453862","Fits your recent listening profile."
"dfd6751a-1dd4-4aed-b141-267072804604","21a3a5a7-3651-4a81-9559-089ac6d4c230","59","10","0,446088","Matches Energetic Mix through pop, electronic, poprock."
"10508919-0c96-49fd-9889-97faa072056d","21a3a5a7-3651-4a81-9559-089ac6d4c230","41","11","0,445359","Fits your recent listening profile."
"c9373436-3b1d-48f8-88be-2fa5f174008a","21a3a5a7-3651-4a81-9559-089ac6d4c230","57","12","0,442632","Matches Energetic Mix through electronic, pop, energetic."
"183dfee6-b9df-4755-ac79-a41b15cfc25b","21a3a5a7-3651-4a81-9559-089ac6d4c230","65","13","0,442074","Matches Energetic Mix through pop, electronic, dance."
"c12748fe-9ef9-4680-814b-55dffa68e964","21a3a5a7-3651-4a81-9559-089ac6d4c230","170","14","0,434780","Matches Energetic Mix through electronic, pop, poprock."
"d49a5c22-a996-40a5-b986-4399d2689309","21a3a5a7-3651-4a81-9559-089ac6d4c230","28","15","0,416485","Matches Energetic Mix through electronic."
"b228a5bf-7764-4332-8534-29bcf20afe74","21a3a5a7-3651-4a81-9559-089ac6d4c230","27","16","0,416263","Matches Energetic Mix through electronic."
"87ca794b-814d-4a42-aef7-c7de0c40c2bc","21a3a5a7-3651-4a81-9559-089ac6d4c230","26","17","0,416041","Matches Energetic Mix through electronic."
"b2c0f044-d888-496e-aefe-0f4eebab8b3e","21a3a5a7-3651-4a81-9559-089ac6d4c230","193","18","0,415076","Matches Energetic Mix through pop, poprock."
"e96c6603-643d-4f1a-9e17-4d4e68dfea0a","21a3a5a7-3651-4a81-9559-089ac6d4c230","196","19","0,412520","Matches Energetic Mix through pop, popfolk, poprock."
"a31d7581-4227-4b75-987c-757339283120","21a3a5a7-3651-4a81-9559-089ac6d4c230","176","20","0,408290","Fits your recent listening profile."
"e66a5df4-3b8e-4b46-b2ba-d45872ac4e44","21a3a5a7-3651-4a81-9559-089ac6d4c230","173","21","0,406204","Matches Energetic Mix through electronic, pop, dance."
"44c0a38f-75e1-4b21-b42e-84beae4a25b3","21a3a5a7-3651-4a81-9559-089ac6d4c230","55","22","0,403434","Matches Energetic Mix through pop, poprock."
"c6505b46-7891-4823-8c0b-4495ee916166","21a3a5a7-3651-4a81-9559-089ac6d4c230","184","23","0,399371","Matches Energetic Mix through pop, poprock, postrock."
"9b77b4ec-b895-4f66-b0b4-62117f1cba7b","21a3a5a7-3651-4a81-9559-089ac6d4c230","202","24","0,365631","Matches Energetic Mix through pop, poprock."
"b600060d-658d-4f13-9642-ce7e98df1540","21a3a5a7-3651-4a81-9559-089ac6d4c230","49","25","0,042681","Catalog fallback for this recommendation intent."
"e774dbd8-322d-4b02-b651-07b3b97f9b7b","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","142","1","0,476040","Matches Late Night Drive Mix through pop, electronic, synthesizer."
"ce055364-1a0a-45eb-ae53-7e75e511ab33","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","67","2","0,468681","Matches Late Night Drive Mix through pop, popfolk, easylistening."
"5e35ed29-ed65-46a4-9566-1bd7c256863f","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","145","3","0,467122","Matches Late Night Drive Mix through pop, electronic, synthesizer."
"80ab7ff0-19fd-4a32-be05-1f3a044de013","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","87","4","0,463788","Matches Late Night Drive Mix through pop, electronic, chillout."
"83ca31a9-9772-4d1a-a302-5ff6b0634682","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","33","5","0,458547","Matches Late Night Drive Mix through hiphop, pop."
"d710a5f1-eab6-47eb-ae65-717320596696","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","151","6","0,457707","Matches Late Night Drive Mix through pop, hiphop, electronic."
"e5b63816-3080-46a6-8376-6f2394f04a2a","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","40","7","0,439047","Matches Late Night Drive Mix through hiphop, pop."
"fbfa9892-4e3f-4605-8d4f-799dfa16dc85","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","46","8","0,435668","Matches Late Night Drive Mix through hiphop, electronic, pop."
"fe81df1f-4464-444f-8c9c-8a65b693f4cf","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","41","9","0,428928","Matches Late Night Drive Mix through hiphop, electronic, pop."
"bcb8654e-95ff-48d6-ba2e-f20f2be77c0c","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","60","10","0,428226","Matches Late Night Drive Mix through pop, electronic, synthesizer."
"5a14d870-8f2b-482c-950a-027f708cc266","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","71","11","0,419369","Matches Late Night Drive Mix through pop, hiphop."
"0efacc73-1189-445d-a623-1e0dea4f32f0","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","58","12","0,418210","Matches Late Night Drive Mix through hiphop, pop, synthesizer."
"b852ca45-e74f-4be5-a856-874387a31f4a","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","174","13","0,417757","Matches Late Night Drive Mix through electronic, pop, hiphop."
"ef6ca5fa-31ef-464d-9a23-d79444b506d0","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","69","14","0,412485","Matches Late Night Drive Mix through pop, electronic, popfolk."
"b417c585-0f6e-4e9c-b4b5-ac10e3c7e214","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","196","15","0,406447","Matches Late Night Drive Mix through pop, rock, popfolk."
"76ae7b76-2f6e-4b41-a5eb-10fbfa714d67","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","56","16","0,394973","Matches Late Night Drive Mix through pop, hiphop, chillout."
"c89daff7-e1b2-47b1-9670-d4ed0d894d37","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","24","17","0,375536","Matches Late Night Drive Mix through hiphop, electronic, pop."
"07e53711-213d-4860-8bf5-b352b3f7e9ef","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","172","18","0,374548","Matches Late Night Drive Mix through hiphop, electronic, pop."
"1421fedc-f21a-4eb8-9afb-fe3417b508ec","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","55","19","0,367857","Matches Late Night Drive Mix through rock, pop, alternative."
"e6f4a79f-e91c-4670-9b13-614d1d0a463e","0dadfa4f-dc78-4f36-b5ec-14fbe5d04b67","191","20","0,365555","Matches Late Night Drive Mix through rock, pop, alternative."
